PuzzleId,Level,Solution,FEN,Moves
001CBP,Easy,,3r1rk1/pp3ppp/3pn3/1qpN4/5PP1/P5PQ/1PP5/1K1R4 w - - 0 1,
002CBP,Easy,,6R1/2p1qr1k/1p1p1r1p/p3p3/2P1P3/2P3Q1/PP3P2/2K3R1 w - - 0 1,
003CBP,Easy,,2kr2nr/pp1n1ppp/2p1p3/8/1P1P1B2/2N2Q1P/1PPKBPP1/7q w - - 0 1,
004CBP,Easy,,5r2/p3Qnkp/1p3Np1/2p3P1/3q4/5P2/PP3R2/4R1K1 w - - 0 1,
005CBP,Easy,,r1b2r1k/ppb2ppB/3q4/8/2PN1n1Q/PP6/1B3PPP/R4RK1 b - - 0 1,
006CBP,Easy,,5r1k/6p1/p2p1rRp/2pPpq1Q/8/PPp1P3/5P1R/K7 w - - 0 1,
007CBP,Easy,,r1n3k1/pp2q2p/2ppr1pQ/4p3/8/2N4R/PPP3PP/5RK1 w - - 0 1,
008CBP,Easy,,4rr1k/p4pb1/5R1p/1p2q3/3p4/3P2R1/PP1Q2BP/7K w - - 0 1,
009CBP,Easy,,r4r1k/ppn4p/2p2N2/4P3/2pP1N2/5K2/PPP5/6R1 w - - 0 1,
010CBP,Easy,,k1r5/1p4pq/p7/5n2/3nQ3/P7/RPP2PPP/2B2RK1 b - - 0 1,
011CBP,Easy,,5r1k/1p1br2p/pqnbpp2/3p4/3P4/P1NQ1N2/1PB2PPP/R3R1K1 w - - 0 1,
012CBP,Easy,,2kr1r2/pp1n3p/2p1bp2/8/5B2/8/PP2BP1P/2R1K1R1 w - - 0 1,
013CBP,Easy,,r1b2rk1/p1p2p1p/2p1pB2/8/3P4/P7/1PP2PqP/R2QK2R w KQ - 0 1,
014CBP,Easy,,rn3r1k/ppp3pp/8/4bP1Q/2BqN3/8/PP3p1P/2R2K1R w - - 0 1,
015CBP,Easy,,1q1r1r2/1bb2pk1/pN1pp3/4n1p1/1PPQP3/1N2BPp1/P5P1/2RR1B1K b - - 0 1,
016CBP,Easy,,r4r1k/5p1p/p2p1Pp1/2p3Q1/q1P1P3/7P/1P4P1/1R3R1K w - - 0 1,
017CBP,Easy,,1rb1nrk1/5p1p/p1q1p1p1/1pbp2N1/2P2P2/PP1BP3/1B4PP/1R1QK2R w K - 0 1,
018CBP,Easy,,r1bq1rk1/pp1pb1p1/2n1p3/4P1P1/3P4/2P5/P4PP1/R1BQK2R w KQ - 0 1,
019CBP,Easy,,r1bqk2r/ppp1nppp/2np4/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 0 1,
