PuzzleId,Level,Solution,FEN,Moves
001SBP,Hard,,r4rk1/p1nq1pp1/1p1pp2p/8/P2PR3/1QP2N2/1P3PPP/R5K1 b - - 0 1,
002SBP,Hard,,r4rk1/1pp3b1/n2p2pp/p2P1q2/2P2p2/P1N2N1P/1P1Q1PP1/1R3RK1 w - - 0 1,
003SBP,Hard,,3r2k1/1p2q1pp/pQp2p2/4p1n1/1PN1P3/2P3PP/1P3PK1/4R3 b - - 0 1,
004SBP,Hard,,r2qr1k1/p1p2ppp/1p3b2/2nPp3/7P/2P1QNN1/PP3PP1/2KR3R w - - 0 1,
005SBP,Hard,,1r2k2r/5p2/1qp1b1p1/3p2R1/6P1/1P4Q1/P5BP/1K1R4 w k - 0 1,
006SBP,Hard,,r2qk2r/1bpnnpb1/p2pp1pp/1p6/3PPP2/P1N1BN2/1PPQB1PP/R4R1K b kq - 0 1,
007SBP,Hard,,2rq1rk1/1bp1bppp/4p3/pp1nN3/1P1P4/P3P1P1/2QN1PBP/R4RK1 w - - 0 1,
008SBP,Hard,,4r1k1/1p3p1p/1r1ppQp1/p1q1P3/P1P5/1P2R1PP/5P2/3R2K1 w - - 0 1,
009SBP,Hard,,1qrr1bk1/1b2nppp/p2p1n2/1p1Pp3/1P2P3/P4N1P/1BBN1PP1/2RQR1K1 w - - 0 1,
010SBP,Hard,,3r2k1/2q1npb1/rpp3pp/2p1p3/P3P3/1PQPBN2/5PPP/R3R1K1 w - - 0 1,
011SBP,Hard,,r2qr1k1/pp1b1ppp/2n2b2/3p4/3N4/2R1B1P1/PP2PPBP/3Q1RK1 w - - 0 1,
012SBP,Hard,,5rk1/pb2q1pp/1r1bpn2/2ppNp2/2P5/PP2P1P1/1BQ2PBP/2R2RK1 b - - 0 1,
013SBP,Hard,,2kr2r1/ppq1np1p/2p1pn1P/1P4p1/P1PP4/3N2NQ/5PP1/R3R1K1 w - - 0 1,
014SBP,Hard,,3q2k1/b2r1ppp/p1n5/1p1p4/3Pr3/1Q1NP1P1/PP1B1R1P/5R1K w - - 0 1,
015SBP,Hard,,1k1rr3/1pp1qpb1/p2pbn1p/6p1/3BP3/1PN2P2/1PP1NQPP/1K1RR3 w - - 0 1,
016SBP,Hard,,r2q1rk1/p1pn1pp1/1p2pn1p/7b/Q1BP3B/P1N1P1R1/1P3P1P/R3K3 w Q - 0 1,
017SBP,Hard,,r3k2r/pp3pp1/2b1p3/3pP2n/3P3P/3B1N2/PP1K1P2/2R3R1 w kq - 0 1,
