FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r3r3/5Rpp/p1k5/P1p5/7N/6P1/2p2P1P/2R3K1 b - - 0 1,Re1+,e8e1,001CBP,0.262278903703113,0.4268863060981179,-280,-80,e8e2,False,0.28757737018842855,0.35683385498256776,-246,-160,e8e1,True,0.262278903703113,0.4268863060981179,-280,-80
r2qr1k1/1b1n1p1p/pp1Q1np1/2pp4/3P4/2N1P3/PP1B1PPP/1BR2RK1 b - - 0 1,Re5,e8e5,002CBP,0.4148530262999426,0.5586421525846197,-93,64,a8c8,False,0.45486436102002753,0.4359179701815651,-49,-70,e8e5,True,0.4148530262999426,0.5586421525846197,-93,64
7r/p4pk1/bpBqp1p1/8/1P1b3P/P4Q1P/2R2P2/2R3K1 w - - 0 1,b5,b4b5,003CBP,0.6101957669935032,0.705297423779081,121,237,b4b5,True,0.6101957669935032,0.705297423779081,121,237,b4b5,True,0.6101957669935032,0.705297423779081,121,237
4r1k1/5Rp1/1p2r2p/7P/2PQnB1q/4P3/6P1/5RK1 b - - 0 1,Kxf7,g8f7,004CBP,0.1583320205357699,0.16017373139259594,-453,-450,h4g4,False,0.4759674843616677,0.45319095389262815,-26,-51,h4g4,False,0.4759674843616677,0.45319095389262815,-26,-51
2r3k1/4bppp/p3p3/q1n1P1PP/1pQ2P2/5B2/PPb5/K1NR2R1 b - - 0 1,Qa4,a5a4,005CBP,0.33301550339064656,0.5695065266470701,-188,76,c2d1,False,0.5045614032628218,0.5174827500461167,4,19,a5a4,True,0.33301550339064656,0.5695065266470701,-188,76
r4rk1/pb3pp1/1p1ppq1p/8/2PR3n/P1N1P1P1/1PQ1BP1P/5RK1 b - - 0 1,Qf3,f6f3,006CBP,0.6731958359349663,0.8860404011975771,196,557,f6f3,True,0.6731958359349663,0.8860404011975771,196,557,f6f3,True,0.6731958359349663,0.8860404011975771,196,557
1br3k1/5pp1/p3p2p/1bBn4/N7/1P3PP1/5R1P/2R3K1 b - - 0 1,Bxa4,b5a4,007CBP,0.4465059701681472,0.5785097804984198,-58,86,b8a7,False,0.5044819722594933,0.46874313267512907,4,-34,b5a4,True,0.4465059701681472,0.5785097804984198,-58,86
8/2p1q2k/3p3p/3P1p1n/3QpPrP/2P1N1PK/1r6/5RR1 b - - 0 1,Rxh4+,g4h4,008CBP,0.3225107974696648,0.9999838761317534,-201,2997,h5g3,False,0.6810687868127125,0.531256867324871,206,34,e7h4,False,0.4116535894545308,0.9999838761317534,-96,2997
5k2/7p/pr1pB1p1/2pP4/1P6/6PP/R3qP2/R5K1 b - - 0 1,Qe4,e2e4,009CBP,0.578057584222426,0.6873942354748303,85,214,e2d3,False,0.5943943615363031,0.6148212729952696,103,127,e2e4,True,0.578057584222426,0.6873942354748303,85,214
2r3r1/p1q2p1k/1p1p1p1p/n3pP2/3PPN1Q/P4R2/6PP/R5K1 b - - 0 1,Qc4,c7c4,010CBP,0.665824530008714,0.7060621760779617,187,238,c7c4,True,0.665824530008714,0.7060621760779617,187,238,c7c4,True,0.665824530008714,0.7060621760779617,187,238
b1rqk2r/3nbppp/4pn2/p1p3N1/Np1P4/3BP2Q/PP1B1PPP/2R2RK1 w k - 0 1,Bg6,d3g6,011CBP,0.4052643604005397,0.6999119059295844,-104,230,e3e4,False,0.5704720710628373,0.6043059266170111,77,115,d3g6,True,0.4052643604005397,0.6999119059295844,-104,230
r3k2r/p4p1p/q2p1npQ/4P3/1pnR4/1N3N1P/PpP2PP1/1K1R4 b kq - 0 1,Rc8,a8c8,012CBP,0.2801176791869704,0.4431743390334964,-256,-62,c4a3,False,0.41271018567166107,0.33681889732873044,-95,-184,a8c8,True,0.2801176791869704,0.4431743390334964,-256,-62
r3k2r/p4p1p/q2p1npQ/8/1pnRP3/1N3N1P/PpP2PP1/1K1R4 w kq - 0 1,Qg7,h6g7,013CBP,0.6443618696509588,0.7128924657021357,161,247,h6g7,True,0.6443618696509588,0.7128924657021357,161,247,h6g7,True,0.6443618696509588,0.7128924657021357,161,247
2b2rk1/2p1qpp1/1r5n/1p1Bp2N/p3P3/3P1P2/PP1Q2P1/2R1K2R w K - 0 1,Rxc7,c1c7,014CBP,0.5804842166540802,0.7203693739005184,88,257,c1c6,False,0.5904167335236925,0.6721676854974802,99,195,c1c7,True,0.5804842166540802,0.7203693739005184,88,257
5rk1/p3bppp/b1n1pn2/2p5/Pp3BPq/5P2/1PQ1P1BP/RN1R2K1 w - - 0 1,Bg3,f4g3,015CBP,0.3805522696318705,0.6507349938882695,-132,169,f4g3,True,0.3805522696318705,0.6507349938882695,-132,169,f4g3,True,0.3805522696318705,0.6507349938882695,-132,169
4q3/6pk/3Q4/3n3p/P1Rr1p1P/1P1p1P2/3N2PK/8 b - - 0 1,Qe1,e8e1,016CBP,0.4619040978485929,0.6243673063917166,-41,138,e8e1,True,0.4619040978485929,0.6243673063917166,-41,138,e8e1,True,0.4619040978485929,0.6243673063917166,-41,138
2b4r/3k1ppp/p2N4/Q3P3/2pb4/8/P5qP/1R2KR2 b - - 0 1,Qc2,g2c2,017CBP,0.5505243246612253,0.6778219194709055,55,202,g2c2,True,0.5505243246612253,0.6778219194709055,55,202,g2c2,True,0.5505243246612253,0.6778219194709055,55,202
4rrk1/R5pp/3qp3/1p1b1p1P/5n2/2P1QN2/1PB2PP1/3R2K1 w - - 0 1,h6,h5h6,018CBP,0.6651565133902302,0.7218503805722687,186,259,h5h6,True,0.6651565133902302,0.7218503805722687,186,259,h5h6,True,0.6651565133902302,0.7218503805722687,186,259
6rr/1b1pk3/5p2/p3p1q1/PP2Pn2/3BRQ2/NP3RPP/7K b - - 0 1,Nxd3,f4d3,019CBP,0.4566598556634853,0.7579448072556428,-47,310,h8h3,False,0.7554319371603038,0.648220254322344,306,166,f4d3,True,0.4566598556634853,0.7579448072556428,-47,310
2b2r2/5pk1/1q1p1Np1/p5Q1/1p1PP1P1/7P/1P6/5RK1 w - - 0 1,Ne8+,f6e8,020CBP,0.650414467061128,0.8275790955442313,168,426,f6h5,False,0.6802274212069261,0.8157118075579274,204,404,f6e8,True,0.650414467061128,0.8275790955442313,168,426
2kr3r/p1bb2pp/2p5/4pq2/B1N1R3/BPPQ4/P5PP/7K w - - 0 1,Nd6+,c4d6,021CBP,0.6985137929925891,0.8140454756112642,228,401,c4d6,True,0.6985137929925891,0.8140454756112642,228,401,c4d6,True,0.6985137929925891,0.8140454756112642,228,401
r2qk2r/1p3ppp/p1n1b3/3N4/3p4/BP4P1/P3PPBP/R1Q2nK1 w kq - 0 1,Nf6+,d5f6,022CBP,0.3985588270481307,0.5,-111,0,d5f4,False,0.5136087396467177,0.5138042910293155,14,15,c1c5,False,0.46005772688178437,0.5184020844121936,-43,20
