FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,0.5962220389591439,0.664824067524339,105,186,c4d6,True,0.5962220389591439,0.664824067524339,105,186,c4d6,True,0.5962220389591439,0.664824067524339,105,186
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,0.5727090416472685,0.6278152022123592,79,142,g6g5,True,0.5727090416472685,0.6278152022123592,79,142,g6g5,True,0.5727090416472685,0.6278152022123592,79,142
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,0.6415008548159125,0.623503343299711,158,137,g3e5,False,0.7154901871833061,0.5704090259445697,250,77,a3b4,True,0.6415008548159125,0.623503343299711,158,137
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,0.45801410907248163,0.6515713880482262,-45,170,c2d3,True,0.45801410907248163,0.6515713880482262,-45,170,c2d3,True,0.45801410907248163,0.6515713880482262,-45,170
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,0.5731662318698861,0.6148212729952696,80,127,d3b3,True,0.5731662318698861,0.6148212729952696,80,127,d3b3,True,0.5731662318698861,0.6148212729952696,80,127
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,0.5023870707402017,0.5092041601288086,2,10,c6c5,True,0.5023870707402017,0.5092041601288086,2,10,c6c5,True,0.5023870707402017,0.5092041601288086,2,10
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,0.5444880476143584,0.5486333135073832,48,53,g5e3,False,0.5582245094517337,0.5604570759825421,63,66,g5d2,False,0.5544882450428313,0.5604570759825421,59,66
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,0.5506480058394754,0.5376698043044984,55,41,c5e6,True,0.5506480058394754,0.5376698043044984,55,41,d1b1,False,0.500598232798946,0.5586421525846197,0,64
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,0.43745862518068673,0.4322998523826144,-68,-74,b4b3,True,0.43745862518068673,0.4322998523826144,-68,-74,b4b3,True,0.43745862518068673,0.4322998523826144,-68,-74
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,0.6269262615313392,0.5577340998516674,140,63,d4d5,True,0.6269262615313392,0.5577340998516674,140,63,d4d5,True,0.6269262615313392,0.5577340998516674,140,63
