FEN,Moves,Moves_UCI,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
1r3rk1/p1n2ppp/b7/P1p1P3/1pNbN3/1P4PB/5P1P/2RR2K1 w - - 0 1,Ncd6,c4d6,0.5962221425325482,0.6672810362657015,105,189,c4d6,True,0.5962221425325482,0.6672810362657015,105,189,c4d6,True,0.5962221425325482,0.6672810362657015,105,189
5rk1/4qpbp/1p2r1p1/pNp1n3/2Pp2P1/3P3P/PP1BPRQ1/5RK1 b - - 0 1,g5,g6g5,0.5727090800625876,0.6689139863954203,79,191,g6g5,True,0.5727090800625876,0.6689139863954203,79,191,g6g5,True,0.5727090800625876,0.6689139863954203,79,191
8/1prr1pkp/4nRp1/2qB2P1/pp2P1PP/P5Q1/1P6/1K3R2 w - - 0 1,axb4,a3b4,0.6415009279895947,0.6754049255580261,158,199,g3e5,False,0.7154902909529568,0.5147240615881282,250,16,a3b4,True,0.6415009279895947,0.6754049255580261,158,199
r4r1k/p1pb4/1p1p3p/3Pq3/2P2p2/3pBN2/PPQ2P1P/6RK w - - 0 1,Qxd3,c2d3,0.4580143413114013,0.6640030811678618,-45,185,c2d3,True,0.4580143413114013,0.6640030811678618,-45,185,c2d1,False,0.2220341064653446,0.7349601640218837,-340,277
2k4r/2p2rpp/3b1n2/Npp1p1B1/4P3/3R1P2/PP3P1P/3R2K1 w - - 0 1,Rb3,d3b3,0.5731662329166207,0.5936932221056321,80,103,d3b3,True,0.5731662329166207,0.5936932221056321,80,103,d3b3,True,0.5731662329166207,0.5936932221056321,80,103
3r1rk1/b2qnpp1/p1pp3p/4p3/P1P1P3/BN4P1/4PPKP/1R1Q1R2 b - - 0 1,c5,c6c5,0.5023870142864425,0.5147240615881282,2,16,c6c5,True,0.5023870142864425,0.5147240615881282,2,16,c6c5,True,0.5023870142864425,0.5147240615881282,2,16
r2qnrk1/1pp1bppp/p7/3Pp1B1/4P3/P1N2Q2/1P3PPP/2RR2K1 w - - 0 1,Bxe7,g5e7,0.5444880072920191,0.5303398401818216,48,33,g5e3,False,0.5582243986558144,0.5504562746820834,63,55,g5e3,False,0.5582243986558144,0.5504562746820834,63,55
r1q4k/1p3rp1/2pnbp1p/2N5/PR1Pp1P1/4P2P/1Q3PB1/3R2K1 w - - 0 1,Nxe6,c5e6,0.5506478680161696,0.5990111810176295,55,109,c5e6,True,0.5506478680161696,0.5990111810176295,55,109,c5e6,True,0.5506478680161696,0.5990111810176295,55,109
rr6/3nnpk1/2q1b1pp/p1ppP3/PpP2Q1P/5N2/1PBN1PP1/R3R1K1 b - - 0 1,b3,b4b3,0.43745854339314194,0.4259857125367345,-68,-81,b4b3,True,0.43745854339314194,0.4259857125367345,-68,-81,b4b3,True,0.43745854339314194,0.4259857125367345,-68,-81
2rq1rk1/3nbp1p/p1b1p3/1pp2p2/2PP4/1P3NP1/P2NQPBP/3R1RK1 w - - 0 1,d5,d4d5,0.6269262646789503,0.607822300927273,140,119,d4d5,True,0.6269262646789503,0.607822300927273,140,119,d4d5,True,0.6269262646789503,0.607822300927273,140,119
3q1r1k/4nnbp/pr1p2p1/2pP4/R3NPP1/7P/1P6/3QRBBK w - - 0 1,b4,b2b4,0.6160934093731054,0.7320812691889782,128,273,b2b3,False,0.647266498739834,0.613075853553636,164,125,b2b4,True,0.6160934093731054,0.7320812691889782,128,273
br2rbk1/2qn1ppp/2pp4/p7/1pP1P3/1B1NBP2/PPQ3PP/3RR1K1 w - - 0 1,c5,c4c5,0.6214248056110697,0.6260928550975975,134,140,c4c5,True,0.6214248056110697,0.6260928550975975,134,140,c4c5,True,0.6214248056110697,0.6260928550975975,134,140
r1bqk2r/1p3pbp/p1nppnp1/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 w kq - 0 1,Be2,d3e2,0.5809212434391169,0.5865684965842631,88,95,d3e2,True,0.5809212434391169,0.5865684965842631,88,95,c1g5,False,0.5615660450735329,0.5901355884591462,67,99
r3r3/2nq1pbk/p2p2pp/2pP4/Pp2PP2/6B1/1P1Q2PP/3NRRK1 b - - 0 1,f5,f7f5,0.5378604211741829,0.6414742687583961,41,158,f7f5,True,0.5378604211741829,0.6414742687583961,41,158,f7f5,True,0.5378604211741829,0.6414742687583961,41,158
2rq1rk1/5ppp/1p2p3/1PnbP3/p1RN3b/P3B2P/4BPP1/3Q1RK1 w - - 0 1,Nc6,d4c6,0.5432608291063563,0.6086996650452808,47,120,d4c6,True,0.5432608291063563,0.6086996650452808,47,120,d4c6,True,0.5432608291063563,0.6086996650452808,47,120
2r3k1/2q1bpp1/2n1p1n1/1p1rP2p/3pQ2P/3N1N2/PP1B1PP1/2R1R1K1 w - - 0 1,g4,g2g4,0.6278931008689168,0.7203693739005184,142,257,a2a3,False,0.6297206498761635,0.6355251419984301,144,151,g2g4,True,0.6278931008689168,0.7203693739005184,142,257
1n3rk1/1bq1npbp/1p4p1/2p1p3/1PPp4/1Q1PPNP1/1B1N1PBP/R5K1 b - - 0 1,dxe3,d4e3,0.5549329333395577,0.5776116974476763,59,85,d4e3,True,0.5549329333395577,0.5776116974476763,59,85,d4e3,True,0.5549329333395577,0.5776116974476763,59,85
1r1r2k1/1b1nqpb1/1pp1p1pp/p7/N2P4/PQ2PN2/1P2BPPP/2RR2K1 b - - 0 1,c5,c6c5,0.5627384775991031,0.5586421525846197,68,64,c6c5,True,0.5627384775991031,0.5586421525846197,68,64,c6c5,True,0.5627384775991031,0.5586421525846197,68,64
r1bqr1k1/1p4bp/2pp2p1/p1n1pp1n/2P1P3/1PNPB1PP/P2QNPB1/R4RK1 w - - 0 1,exf5,e4f5,0.5729640776580157,0.5998952814867482,79,110,e4f5,True,0.5729640776580157,0.5998952814867482,79,110,e4f5,True,0.5729640776580157,0.5998952814867482,79,110
1nbq1rk1/1pp2ppp/3p1n2/4p3/1PP5/2Q2NP1/3PPP1P/B3KB1R b K - 0 1,b5,b7b5,0.4850716378289012,0.497238468079986,-16,-3,b7b5,True,0.4850716378289012,0.497238468079986,-16,-3,b7b5,True,0.4850716378289012,0.497238468079986,-16,-3
3r4/p4pk1/1p2bqpp/2p5/2Pp2PP/PP1Q1P2/8/1K2R2R b - - 0 1,h5,h6h5,0.5683108459839326,0.5704090259445697,74,77,h6h5,True,0.5683108459839326,0.5704090259445697,74,77,h6h5,True,0.5683108459839326,0.5704090259445697,74,77
rq3rk1/1b1nbppp/ppnpp3/8/2P1PP2/1NN1BB2/PP2Q1PP/2RR2K1 w - - 0 1,Na4,c3a4,0.5904371572190286,0.5901355884591462,99,99,c3a4,True,0.5904371572190286,0.5901355884591462,99,99,c1c2,False,0.5755374826658142,0.5901355884591462,82,99
r1q1kb1r/5ppp/1pbppn2/p7/PPP1P3/6P1/3N1PBP/R1BQ1RK1 w kq - 0 1,c5,c4c5,0.5579655707938589,0.6873942354748303,63,214,b4b5,False,0.5878311287044078,0.6818291390214323,96,207,c4c5,True,0.5579655707938589,0.6873942354748303,63,214
r4rk1/pb3pp1/1pp1pn1p/8/2PP3Q/qP1B1N2/P4PPP/R3R1K1 w - - 0 1,g4,g2g4,0.5669243128800657,0.6858096201223898,73,212,g2g4,True,0.5669243128800657,0.6858096201223898,73,212,g2g4,True,0.5669243128800657,0.6858096201223898,73,212
r1bqk2r/p1pnn1b1/1p1pp2p/5pp1/2PPP3/P1N1BN2/1P2BPPP/2RQ1RK1 w kq - 0 1,c5,c4c5,0.6016807980826512,0.5838871815019091,112,92,c4c5,True,0.6016807980826512,0.5838871815019091,112,92,c4c5,True,0.6016807980826512,0.5838871815019091,112,92
r1b2rk1/1pqn1ppp/p3pn2/3p4/1bPN4/1PN3P1/P1Q1PPBP/R1BR2K1 w - - 0 1,Na4,c3a4,0.6013534151778788,0.6226385940780689,111,136,c3a4,True,0.6013534151778788,0.6226385940780689,111,136,c3a4,True,0.6013534151778788,0.6226385940780689,111,136
2r3k1/5pp1/p2q2bp/1p1p4/3Nn3/N1P1R3/PP3PPP/4Q1K1 b - - 0 1,b4,b5b4,0.5236955740373037,0.5613639348680176,25,67,b5b4,True,0.5236955740373037,0.5613639348680176,25,67,b5b4,True,0.5236955740373037,0.5613639348680176,25,67
1rq1r1k1/R3b1pp/1npppn2/1p2p1N1/1P1PP3/2NQB2P/2P2PP1/4R1K1 w - - 0 1,d5,d4d5,0.5596669646821232,0.6473801693008373,65,165,d4e5,False,0.6236932003030239,0.5540980866051488,137,59,d4d5,True,0.5596669646821232,0.6473801693008373,65,165
4rrk1/p2bq3/2pp2p1/5n1p/2P1N3/2P3P1/P2Q2BP/4RRK1 w - - 0 1,h3,h2h3,0.5727728475704309,0.5776116974476763,79,85,h2h3,True,0.5727728475704309,0.5776116974476763,79,85,h2h3,True,0.5727728475704309,0.5776116974476763,79,85
