FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r1br2k1/1pp2p1p/n5p1/p3q3/P1Q1P3/2N3P1/1P3PBP/R4RK1 b - - 0 1,c6,c7c6,001SBP,0.9464432612185363,0.6183032245766588,779,131,e5c3,False,0.9662811915958195,0.11174781242532256,911,-563,c7c6,True,0.9464432612185363,0.6183032245766588,779,131
r4rk1/2qnbppp/p3p3/2pbP3/2N5/1P3N2/P2BQPPP/R4RK1 b - - 0 1,a5,a6a5,002SBP,0.9370679876787766,0.545896437602999,733,50,d5c4,False,0.9748655913074628,0.48067870579756605,993,-21,a6a5,True,0.9370679876787766,0.545896437602999,733,50
4rrk1/p1pbqppp/1pnb4/4p3/2PP4/P3PN1P/1BQ1BPP1/R4RK1 w - - 0 1,c5,c4c5,003SBP,0.045733386949495386,0.5431567852197504,-825,47,c2h7,False,0.058636672471209475,0.09826859886598244,-753,-602,c4c5,True,0.045733386949495386,0.5431567852197504,-825,47
2r2rk1/pq1n1ppp/4pb2/8/Pp1B4/1P2PN1P/4QPP1/2RR2K1 w - - 0 1,Qb5,e2b5,004SBP,0.004222031749275097,0.6069442398881181,-1483,118,c1c8,False,0.07751894804422155,0.53675438329054,-672,40,e2b5,True,0.004222031749275097,0.6069442398881181,-1483,118
3r1rk1/1p4p1/p1pnbq1p/P2pNp2/1P1P1PPP/3BP3/2Q1R1K1/5R2 b - - 0 1,fxg4,f5g4,005SBP,0.9290377866942685,0.5820968656397246,698,90,f6h4,False,0.931507804523015,0.2774109267875924,708,-260,f5g4,True,0.9290377866942685,0.5820968656397246,698,90
r6k/2pq1rbp/1p1p4/p2Pp1R1/P1P1Bn1P/1P2BP2/6Q1/2K3R1 w - - 0 1,Bxf4,e3f4,006SBP,0.11759438720033125,0.7255317251331461,-547,264,e3f4,True,0.11759438720033125,0.7255317251331461,-547,264,e3f4,True,0.11759438720033125,0.7255317251331461,-547,264
1r1b1rk1/p1pq1ppp/3p4/2pN4/4P3/1P4Q1/P1P2PPP/R4RK1 w - - 0 1,Rad1,a1d1,007SBP,0.06275096610745468,0.5531881623684916,-734,58,a1d1,True,0.06275096610745468,0.5531881623684916,-734,58,a1d1,True,0.06275096610745468,0.5531881623684916,-734,58
r3qrk1/pb3pp1/1p5p/2ppP1bQ/8/2PBP1B1/P4PPP/2R2RK1 w - - 0 1,f4,f2f4,008SBP,0.060669250653066366,0.6565700162843596,-744,176,c1d1,False,0.06256186119140936,0.5449835205954683,-735,49,f2f4,True,0.060669250653066366,0.6565700162843596,-744,176
3q1r1k/1p2p1bp/3p4/5p2/rPP5/5P2/3BQ1PP/1R3R1K w - - 0 1,Bg5,d2g5,009SBP,0.07704179871018602,0.6113275248507526,-674,123,e2d1,False,0.0809820709853624,0.5568256609665037,-659,62,d2g5,True,0.07704179871018602,0.6113275248507526,-674,123
1r4k1/1q3ppp/1b6/2p5/Q1B1P3/5P2/6PP/1R4K1 w - - 0 1,Rd1,b1d1,010SBP,0.003907343800827092,0.5677001476173855,-1504,74,c4f7,False,0.027316261818661557,0.1927360397463046,-970,-389,b1d1,True,0.003907343800827092,0.5677001476173855,-1504,74
q5k1/1p3pb1/2ppbnpp/1P2pn2/2P5/2NP2P1/1B1NPPBP/3Q2K1 w - - 0 1,Qa4,d1a4,011SBP,0.05606102182090517,0.5713110574149894,-766,78,h2h3,False,0.08577032167374943,0.49355671670047907,-642,-7,d1a4,True,0.05606102182090517,0.5713110574149894,-766,78
2r3k1/1p1bn1pn/pq1p3p/3Pp3/4P3/2BB2PP/PP2Q2R/2K2N2 b - - 0 1,Bb5,d7b5,012SBP,0.9345526861084186,0.6174338599757672,722,130,e7d5,False,0.9657666146851466,0.24681529249348733,907,-303,d7b5,True,0.9345526861084186,0.6174338599757672,722,130
r2qkb1r/1b1npppp/p4n2/1pp5/8/1P2PN2/PB1PBPPP/RN1Q1RK1 w kq - 0 1,a4,a2a4,013SBP,0.057376264334629695,0.5266697440308632,-760,29,d2d3,False,0.06805194208817726,0.5009205189599892,-710,1,f1e1,False,0.03433782123109384,0.5358387144707508,-906,39
r1bq1rk1/pp2n1bp/2p2np1/3p4/5PP1/2N1BB1P/PPP1N3/R2Q1RK1 b - - 0 1,h5,h7h5,014SBP,0.9201549838898578,0.6252304785769166,663,139,f6g4,False,0.9748088596488842,0.2901315068241716,992,-243,h7h5,True,0.9201549838898578,0.6252304785769166,663,139
3b2k1/1bq2ppp/pp3n2/2p1p3/P3P3/2N1BP2/1PP2QPP/5BK1 w - - 0 1,Bc4,f1c4,015SBP,0.10010550004989079,0.5695065266470701,-596,76,f2e1,False,0.10087850050927741,0.545896437602999,-594,50,f1c4,True,0.10010550004989079,0.5695065266470701,-596,76
r4rk1/1bp1q1pp/1p1pn3/8/1PP1np2/2BRPN2/2Q1BPPP/5RK1 b - - 0 1,N4g5,e4g5,016SBP,0.9472287342015155,0.5550076484124536,784,60,e4c3,False,0.9854533820528031,0.5468090461073719,1144,51,e4g5,True,0.9472287342015155,0.5550076484124536,784,60
r2q1rk1/pp2bppp/4pn2/3nN3/3P4/1B6/PP2QPPP/R1B1R1K1 w - - 0 1,Bg5,c1g5,017SBP,0.05150200886124509,0.5550076484124536,-791,60,e2f1,False,0.05550573794912786,0.5,-769,0,c1g5,True,0.05150200886124509,0.5550076484124536,-791,60
5r2/2pq2kn/1ppp3p/r4Pp1/2Q5/6BP/PPP2PP1/R4RK1 w - - 0 1,b4,b2b4,018SBP,0.07147198224031255,0.6086996650452808,-696,120,f2f4,False,0.08411186744004229,0.6016615267275047,-648,112,b2b4,True,0.07147198224031255,0.6086996650452808,-696,120
1n1rn1k1/p4pp1/1p2pq1p/4N3/1BQPPP2/P6P/6P1/4R1K1 w - - 0 1,a4,a3a4,019SBP,0.029769296554240335,0.6983628994701436,-946,228,e5g4,False,0.07665141478834636,0.44499235158754635,-675,-60,a3a4,True,0.029769296554240335,0.6983628994701436,-946,228
r2r2k1/p3ppbp/Bpn3pB/q1p5/3PP3/2P5/P2QNPPP/2RR2K1 b - - 0 1,Qxa6,a5a6,020SBP,0.9099089799517628,0.4098644115408538,628,-99,g7h6,False,0.9395306053539031,0.3343559420193419,745,-187,a5a6,True,0.9099089799517628,0.4098644115408538,628,-99
1Q2n3/1b1qn2k/3p3p/2pPp1pP/1pP1P1P1/1P2BBN1/6K1/8 w - - 0 1,Bxc5,e3c5,021SBP,0.12903817635215575,0.5704090259445697,-518,77,g2h3,False,0.15251332737317727,0.5,-465,0,e3c5,True,0.12903817635215575,0.5704090259445697,-518,77
