FEN,Moves,Moves_UCI,Puzzle_ID,%win_LST_best_move,%win_Stockfish_best_move,CP_LST_best_move,CP_Stockfish_best_move,move_LST,correct_LST,%win_LST_move_LST,%win_Stockfish_move_LST,CP_LST_move_LST,CP_Stockfish_move_LST,move_Stockfish,correct_Stockfish,%win_LST_move_Stockfish,%win_Stockfish_move_Stockfish,CP_LST_move_Stockfish,CP_Stockfish_move_Stockfish
r1br2k1/1pp2p1p/n5p1/p3q3/P1Q1P3/2N3P1/1P3PBP/R4RK1 b - - 0 1,c6,c7c6,001SBP,0.5993242679594383,0.6200396776969423,109,133,c7c6,True,0.5993242679594383,0.6200396776969423,109,133,c7c6,True,0.5993242679594383,0.6200396776969423,109,133
r4rk1/2qnbppp/p3p3/2pbP3/2N5/1P3N2/P2BQPPP/R4RK1 b - - 0 1,a5,a6a5,002SBP,0.5654097918086958,0.5449835205954683,71,49,a6a5,True,0.5654097918086958,0.5449835205954683,71,49,a6a5,True,0.5654097918086958,0.5449835205954683,71,49
4rrk1/p1pbqppp/1pnb4/4p3/2PP4/P3PN1P/1BQ1BPP1/R4RK1 w - - 0 1,c5,c4c5,003SBP,0.5821492117444123,0.5767131009559461,90,84,c4c5,True,0.5821492117444123,0.5767131009559461,90,84,c4c5,True,0.5821492117444123,0.5767131009559461,90,84
2r2rk1/pq1n1ppp/4pb2/8/Pp1B4/1P2PN1P/4QPP1/2RR2K1 w - - 0 1,Qb5,e2b5,004SBP,0.6070313170005105,0.6465391720148663,118,164,e2b5,True,0.6070313170005105,0.6465391720148663,118,164,e2b5,True,0.6070313170005105,0.6465391720148663,118,164
3r1rk1/1p4p1/p1pnbq1p/P2pNp2/1P1P1PPP/3BP3/2Q1R1K1/5R2 b - - 0 1,fxg4,f5g4,005SBP,0.5702503114054187,0.6148212729952696,76,127,f5g4,True,0.5702503114054187,0.6148212729952696,76,127,f5g4,True,0.5702503114054187,0.6148212729952696,76,127
r6k/2pq1rbp/1p1p4/p2Pp1R1/P1P1Bn1P/1P2BP2/6Q1/2K3R1 w - - 0 1,Bxf4,e3f4,006SBP,0.7496826831338836,0.5865684965842631,297,95,e3f4,True,0.7496826831338836,0.5865684965842631,297,95,e3f4,True,0.7496826831338836,0.5865684965842631,297,95
1r1b1rk1/p1pq1ppp/3p4/2pN4/4P3/1P4Q1/P1P2PPP/R4RK1 w - - 0 1,Rad1,a1d1,007SBP,0.5683048448419318,0.5577340998516674,74,63,a1d1,True,0.5683048448419318,0.5577340998516674,74,63,a1d1,True,0.5683048448419318,0.5577340998516674,74,63
r3qrk1/pb3pp1/1p5p/2ppP1bQ/8/2PBP1B1/P4PPP/2R2RK1 w - - 0 1,f4,f2f4,008SBP,0.653875610145941,0.6431661450174323,172,160,f2f4,True,0.653875610145941,0.6431661450174323,172,160,f2f4,True,0.653875610145941,0.6431661450174323,172,160
3q1r1k/1p2p1bp/3p4/5p2/rPP5/5P2/3BQ1PP/1R3R1K w - - 0 1,Bg5,d2g5,009SBP,0.6059434305455325,0.6165637432224795,116,129,d2g5,True,0.6059434305455325,0.6165637432224795,116,129,d2g5,True,0.6059434305455325,0.6165637432224795,116,129
1r4k1/1q3ppp/1b6/2p5/Q1B1P3/5P2/6PP/1R4K1 w - - 0 1,Rd1,b1d1,010SBP,0.5467042803147422,0.5838871815019091,50,92,g2g3,False,0.5543696509551088,0.5202403732122675,59,22,b1d1,True,0.5467042803147422,0.5838871815019091,50,92
q5k1/1p3pb1/2ppbnpp/1P2pn2/2P5/2NP2P1/1B1NPPBP/3Q2K1 w - - 0 1,Qa4,d1a4,011SBP,0.5394460993467388,0.5486333135073832,42,53,d1a4,True,0.5394460993467388,0.5486333135073832,42,53,d1a4,True,0.5394460993467388,0.5486333135073832,42,53
2r3k1/1p1bn1pn/pq1p3p/3Pp3/4P3/2BB2PP/PP2Q2R/2K2N2 b - - 0 1,Bb5,d7b5,012SBP,0.555097980486648,0.5803043837193158,60,88,c8f8,False,0.5627227441148792,0.5550076484124536,68,60,d7b5,True,0.555097980486648,0.5803043837193158,60,88
r2qkb1r/1b1npppp/p4n2/1pp5/8/1P2PN2/PB1PBPPP/RN1Q1RK1 w kq - 0 1,a4,a2a4,013SBP,0.549086496290329,0.5376698043044984,53,41,a2a4,True,0.549086496290329,0.5376698043044984,53,41,a2a4,True,0.549086496290329,0.5376698043044984,53,41
r1bq1rk1/pp2n1bp/2p2np1/3p4/5PP1/2N1BB1P/PPP1N3/R2Q1RK1 b - - 0 1,h5,h7h5,014SBP,0.6053456665547805,0.591915609324709,116,101,h7h5,True,0.6053456665547805,0.591915609324709,116,101,h7h5,True,0.6053456665547805,0.591915609324709,116,101
3b2k1/1bq2ppp/pp3n2/2p1p3/P3P3/2N1BP2/1PP2QPP/5BK1 w - - 0 1,Bc4,f1c4,015SBP,0.5720535377684823,0.5722126153120402,78,79,f1c4,True,0.5720535377684823,0.5722126153120402,78,79,f1c4,True,0.5720535377684823,0.5722126153120402,78,79
r4rk1/1bp1q1pp/1p1pn3/8/1PP1np2/2BRPN2/2Q1BPPP/5RK1 b - - 0 1,N4g5,e4g5,016SBP,0.5708915261761145,0.6448544575649283,77,162,e7e8,False,0.5801565314235695,0.5695065266470701,87,76,e4g5,True,0.5708915261761145,0.6448544575649283,77,162
r2q1rk1/pp2bppp/4pn2/3nN3/3P4/1B6/PP2QPPP/R1B1R1K1 w - - 0 1,Bg5,c1g5,017SBP,0.5187114469828324,0.5248335896523929,20,27,h2h4,False,0.5192667138255451,0.5184020844121936,20,20,g2g4,False,0.5160131770860186,0.5285051773118131,17,31
5r2/2pq2kn/1ppp3p/r4Pp1/2Q5/6BP/PPP2PP1/R4RK1 w - - 0 1,b4,b2b4,018SBP,0.5862702301779938,0.6252304785769166,94,139,a2a4,False,0.5951707379187366,0.6174338599757672,104,130,b2b4,True,0.5862702301779938,0.6252304785769166,94,139
1n1rn1k1/p4pp1/1p2pq1p/4N3/1BQPPP2/P6P/6P1/4R1K1 w - - 0 1,a4,a3a4,019SBP,0.5642365767038546,0.6363776066437299,70,152,d4d5,False,0.577435892859846,0.5749143902876699,84,82,a3a4,True,0.5642365767038546,0.6363776066437299,70,152
r2r2k1/p3ppbp/Bpn3pB/q1p5/3PP3/2P5/P2QNPPP/2RR2K1 b - - 0 1,Qxa6,a5a6,020SBP,0.4346105604810228,0.4071952805672289,-71,-102,g7h6,False,0.4660415800197276,0.4368235823566406,-36,-69,g7h6,False,0.4660415800197276,0.4368235823566406,-36,-69
1Q2n3/1b1qn2k/3p3p/2pPp1pP/1pP1P1P1/1P2BBN1/6K1/8 w - - 0 1,Bxc5,e3c5,021SBP,0.6003903440448923,0.5812008926446736,110,89,e3c5,True,0.6003903440448923,0.5812008926446736,110,89,e3c5,True,0.6003903440448923,0.5812008926446736,110,89
r4rk1/pp4pp/2bppn2/2n2p1q/2P5/P2P1NP1/1B2PPBP/1R1Q1RK1 w - - 0 1,Bxf6,b2f6,022SBP,0.4904342130830429,0.607822300927273,-10,119,d3d4,False,0.5207497770846674,0.5394998785122574,22,43,b2f6,True,0.4904342130830429,0.607822300927273,-10,119
r1r3k1/pp2pp1p/1q1p1np1/8/2P5/1P3BP1/PQ2PP1P/R2R2K1 w - - 0 1,Rd4,d1d4,023SBP,0.5221036301384171,0.531256867324871,24,34,d1d4,True,0.5221036301384171,0.531256867324871,24,34,d1d4,True,0.5221036301384171,0.531256867324871,24,34
r4rk1/p1pn1ppp/2p1pq2/8/3P4/8/PPPQ1PPP/2KR1B1R w - - 0 1,h4,h2h4,024SBP,0.5459919124416857,0.5449835205954683,50,49,g2g3,False,0.5548646290515069,0.5321736834106171,59,35,f2f4,False,0.5400886260357272,0.5504562746820834,43,55
r3kb1r/5qpp/bp2p3/p1p1Pp2/P6Q/1P2BN2/2P2PPP/3RR1K1 w kq - 0 1,Rd6,d1d6,025SBP,0.652239998692526,0.7225890732124075,170,260,d1d6,True,0.652239998692526,0.7225890732124075,170,260,d1d6,True,0.652239998692526,0.7225890732124075,170,260
4r1k1/1pr2pp1/pQn4p/3Rp1q1/1P2P3/P3PB1P/6P1/2R3K1 w - - 0 1,h4,h3h4,026SBP,0.5277729558692482,0.6532413731006851,30,172,g1h2,False,0.5407160932499557,0.5794073444653803,44,87,h3h4,True,0.5277729558692482,0.6532413731006851,30,172
